Model,GPU_Time_ms,Distance,Mean_Distance,Status
36088,299.482,"0.0617135 - 0.0621655",0.0619395,OK
36092,1645.05,"0.0713224 - 0.0719768",0.0716496,OK
36372,222.103,"0.0370794 - 0.0374497",0.0372645,OK
37011,1623.81,"0.0782122 - 0.0789922",0.0786022,OK
37227,23.6587,"4.54249 - 4.57354",4.55802,OK
37402,14.0561,"5.49496 - 5.49496",5.49496,OK
37416,4.20864,"20.9992 - 20.9992",20.9992,OK
37772,4785.88,"0.0117933 - 0.0119013",0.0118473,OK
37864,126.555,"0.0325742 - 0.0328909",0.0327326,OK
37962,3986.68,"0.0913738 - 0.092208",0.0917909,OK
38035,616.243,"0.0815852 - 0.0822968",0.081941,OK
38095,1501.26,"0.0577422 - 0.0583189",0.0580305,OK
38111,15015.6,"0.0877053 - 0.0884267",0.088066,OK
38290,698.484,"0.140008 - 0.141192",0.1406,OK
38635,5593.47,"0.045233 - 0.0456852",0.0454591,OK
38644,797.789,"0.0462129 - 0.0466701",0.0464415,OK
39012,1151.26,"0.0514707 - 0.0519845",0.0517276,OK
39025,1460.98,"0.0257561 - 0.0260133",0.0258847,OK
39157,8601.39,"0.107316 - 0.108188",0.107752,OK
39246,9.38801,"0.741584 - 0.741584",0.741584,OK
39353,423.284,"0.0112246 - 0.011336",0.0112803,OK
39461,2154.53,"0.0319961 - 0.032316",0.032156,OK
39635,2.56,"3.73512 - 3.75035",3.74273,OK
39677,4529.55,"0.0541983 - 0.0547362",0.0544672,OK
